Company Name,Type,RSSD ID,City,State,MRQ,Total Assets,PCO Tangible Common Equity
[Do not alter shaded columns]                             QA Field ID,,,,,,,3270
Field Type,,,,,,,BHC-SP
Period,,,,,,,6/30/25
Duration,,,,,,MRQ,
"Jackson Financial, Inc.",BHC-SP,3802513,Jackson,MN,6/30/2025,"27,287","5,845"
"Jackson Financial, Mhc",BHC-SP,3823901,Jackson,MN,6/30/2025,"27,287","5,845"
Community First Financial Corporation,BHC-SP,3921816,Kokomo,IN,6/30/2025,"884,737","77,239"
"Cincinnatus Community Bancorp, Inc",BHC-SP,4300968,Cheviot,OH,6/30/2025,"178,857","27,032"
"Cincinnatus Community Bancorp, Mhc",BHC-SP,4301394,Cheviot,OH,6/30/2025,"178,882","27,181"
"Bright Force Holding Gp, Llc",BHC-SP,5164448,Dallas,TX,6/30/2025,"641,240","36,623"
Dcb Family Holding Corporation,BHC-SP,5421413,Salt Lake City,UT,6/30/2025,"117,025","7,735"
"Jgs, Jr. Family Holding Corporation",BHC-SP,5421422,Salt Lake City,UT,6/30/2025,"119,634","16,651"
"Washington 1st Banco, Inc.",BHC-SP,1055584,Washington,KS,6/30/2025,"85,267","22,195"
"Padgett Agency, Inc.",BHC-SP,1055669,Greenleaf,KS,6/30/2025,"222,752","14,866"
"Chambanco, Inc.",BHC-SP,1056125,Chambers,NE,6/30/2025,"88,105","21,107"
"High Plains Banking Group, Inc.",BHC-SP,1062760,Flagler,CO,6/30/2025,"428,644","38,333"
F&M Bancorp,BHC-SP,1071155,Miamisburg,OH,6/30/2025,"341,475","34,925"
"State Bancorp, Inc.",BHC-SP,1076150,Bruceton Mills,WV,6/30/2025,"979,977","102,363"
"Exchange Bankshares, Inc.",BHC-SP,1085862,Milledgeville,GA,6/30/2025,"409,261","45,491"
Dixie Bancshares Corp.,BHC-SP,1095272,New Madrid,MO,6/30/2025,"118,460","14,999"
Smith Associated Banking Corporation,BHC-SP,1098004,Hot Springs,AR,6/30/2025,"252,931","31,232"
"Bancshares Of Eastern Arkansas, Inc.",BHC-SP,1099449,Forrest City,AR,6/30/2025,"568,648","65,295"
Perry County Bancorp Inc.,BHC-SP,1099748,Du Quoin,IL,6/30/2025,"133,792","1,218"
"Crossroads Bancorp, Inc.",BHC-SP,1099999,Mount Washington,KY,6/30/2025,"123,269","8,884"
"Texas Gulf Bancshares, Inc.",BHC-SP,1101726,Houston,TX,6/30/2025,"690,363","79,404"
"Progressive Bancorp, Inc.",BHC-SP,1108659,Monroe,LA,6/30/2025,"756,190","67,195"
"Tensas Bancshares, Inc.",BHC-SP,1109487,Newellton,LA,6/30/2025,"20,063","29,659"
"First Burkburnett Bancshares, Inc.",BHC-SP,1109544,Wichita Falls,TX,6/30/2025,"678,763","92,067"
"Cnb Financial Corporation, Inc.",BHC-SP,1109825,Taylor,TX,6/30/2025,"238,084","28,247"
Walker Ban Co.,BHC-SP,1126318,Walker,MN,6/30/2025,"799,756","95,048"
Great Oaks Financial Holdings Inc,BHC-SP,1129805,Richmond Hill,GA,6/30/2025,"396,325","18,759"
"Southern National Banks, Inc.",BHC-SP,1129823,Fort Walton Beach,FL,6/30/2025,"612,131","81,248"
"Citadel Bancorp, Inc.",BHC-SP,1130191,Burleson,TX,6/30/2025,"266,720","28,585"
"Hodge Bancshares, Inc.",BHC-SP,1130678,Hodge,LA,6/30/2025,"104,438","18,803"
"First Bottineau, Inc.",BHC-SP,1131237,Bottineau,ND,6/30/2025,"170,375","23,177"
"Peoples Bancorp, Inc.",BHC-SP,1131554,Manchester,TN,6/30/2025,"167,942","21,792"
"BSJ Bancshares, Inc.",BHC-SP,1132382,Saint Joseph,LA,6/30/2025,"623,388","50,715"
"Macon-Atlanta Bancorp, Inc.",BHC-SP,1133062,Macon,MO,6/30/2025,"382,409","36,211"
"Skiatook Bancshares, Inc.",BHC-SP,1133129,Skiatook,OK,6/30/2025,"154,145","11,256"
"F & M Bancshares, Inc.",BHC-SP,1135806,Trezevant,TN,6/30/2025,"817,854","68,801"
North Shore Financial Corporation,BHC-SP,1136540,Duluth,MN,6/30/2025,"554,459","28,555"
"Omni Bancorp, Inc.",BHC-SP,1139859,Effingham,IL,6/30/2025,"277,746","29,432"
